block,feature,line,orientation,x_cm,y_cm,twt_ns,depth_m
B,B-1,1,X-line,649.9,0.0,9.8877,0.5943
B,B-1,1,X-line,652.4,0.0,9.9487,0.5979
B,B-1,1,X-line,654.9,0.0,10.0098,0.6016
B,B-1,1,X-line,657.4,0.0,10.0098,0.6016
B,B-1,1,X-line,659.8,0.0,10.0098,0.6016
B,B-1,1,X-line,662.3,0.0,10.0098,0.6016
B,B-1,1,X-line,664.8,0.0,10.0098,0.6016
B,B-1,1,X-line,667.3,0.0,10.0098,0.6016
B,B-1,1,X-line,669.8,0.0,10.0098,0.6016
B,B-1,1,X-line,672.3,0.0,10.0098,0.6016
B,B-1,1,X-line,674.8,0.0,10.0098,0.6016
B,B-1,1,X-line,677.3,0.0,10.0098,0.6016
B,B-1,1,X-line,679.8,0.0,10.0708,0.6053
B,B-1,1,X-line,682.3,0.0,10.1318,0.6089
B,B-1,1,X-line,684.8,0.0,10.1318,0.6089
B,B-1,1,X-line,687.2,0.0,10.1318,0.6089
B,B-1,1,X-line,689.7,0.0,10.1929,0.6126
B,B-1,1,X-line,692.2,0.0,10.2539,0.6163
B,B-1,1,X-line,694.7,0.0,10.2539,0.6163
B,B-1,1,X-line,697.2,0.0,10.2539,0.6163
B,B-1,1,X-line,699.7,0.0,10.3149,0.6199
B,B-1,1,X-line,702.2,0.0,10.376,0.6236
B,B-1,1,X-line,704.7,0.0,10.376,0.6236
B,B-1,1,X-line,707.2,0.0,10.437,0.6273
B,B-1,1,X-line,709.7,0.0,10.437,0.6273
B,B-1,1,X-line,712.1,0.0,10.4981,0.6309
B,B-1,1,X-line,714.6,0.0,10.5591,0.6346
B,B-1,1,X-line,717.1,0.0,10.6201,0.6383
B,B-1,1,X-line,719.6,0.0,10.6812,0.6419
B,B-1,1,X-line,722.1,0.0,10.6812,0.6419
B,B-1,1,X-line,724.6,0.0,10.6812,0.6419
B,B-1,1,X-line,727.1,0.0,10.6812,0.6419
B,B-1,1,X-line,729.6,0.0,10.6812,0.6419
B,B-1,1,X-line,732.1,0.0,10.6812,0.6419
B,B-1,1,X-line,734.6,0.0,10.7422,0.6456
B,B-1,1,X-line,737.0,0.0,10.7422,0.6456
B,B-1,1,X-line,739.5,0.0,10.7422,0.6456
B,B-1,1,X-line,742.0,0.0,10.7422,0.6456
B,B-1,1,X-line,744.5,0.0,10.7422,0.6456
B,B-1,1,X-line,747.0,0.0,10.7422,0.6456
B,B-1,1,X-line,749.5,0.0,10.7422,0.6456
B,B-1,1,X-line,752.0,0.0,10.7422,0.6456
B,B-1,1,X-line,754.5,0.0,10.7422,0.6456
B,B-1,1,X-line,757.0,0.0,10.8032,0.6493
B,B-1,1,X-line,759.4,0.0,10.8643,0.6529
B,B-1,1,X-line,761.9,0.0,10.9253,0.6566
B,B-1,1,X-line,764.4,0.0,10.9863,0.6603
B,B-1,1,X-line,766.9,0.0,11.0474,0.6639
B,B-1,1,X-line,769.4,0.0,11.1084,0.6676
B,B-1,1,X-line,771.9,0.0,11.1694,0.6713
B,B-1,1,X-line,774.4,0.0,11.2305,0.675
B,B-1,1,X-line,776.9,0.0,11.2915,0.6786
B,B-1,1,X-line,779.4,0.0,11.3525,0.6823
B,B-1,1,X-line,781.9,0.0,11.3525,0.6823
B,B-1,1,X-line,784.4,0.0,11.3525,0.6823
B,B-1,1,X-line,786.8,0.0,11.4136,0.686
B,B-1,1,X-line,789.3,0.0,11.4746,0.6896
B,B-1,1,X-line,791.8,0.0,11.5357,0.6933
B,B-1,1,X-line,794.3,0.0,11.5967,0.697
B,B-1,1,X-line,796.8,0.0,11.6577,0.7006
B,B-1,1,X-line,799.3,0.0,11.6577,0.7006
B,B-1,1,X-line,801.8,0.0,11.6577,0.7006
B,B-1,1,X-line,804.3,0.0,11.6577,0.7006
B,B-1,1,X-line,806.8,0.0,11.7188,0.7043
B,B-1,1,X-line,809.3,0.0,11.7188,0.7043
B,B-1,1,X-line,811.7,0.0,11.7798,0.708
B,B-1,1,X-line,814.2,0.0,11.8408,0.7116
B,B-1,1,X-line,816.7,0.0,11.8408,0.7116
B,B-1,1,X-line,819.2,0.0,11.8408,0.7116
B,B-1,1,X-line,821.7,0.0,11.8408,0.7116
B,B-1,1,X-line,824.2,0.0,11.8408,0.7116
B,B-1,1,X-line,826.7,0.0,11.8408,0.7116
B,B-1,1,X-line,829.2,0.0,11.8408,0.7116
B,B-1,1,X-line,831.7,0.0,11.8408,0.7116
B,B-1,1,X-line,834.2,0.0,11.8408,0.7116
B,B-1,1,X-line,836.6,0.0,11.9019,0.7153
B,B-1,1,X-line,839.1,0.0,11.9019,0.7153
B,B-1,1,X-line,841.6,0.0,11.9629,0.719
B,B-1,1,X-line,844.1,0.0,12.0239,0.7226
B,B-1,1,X-line,846.6,0.0,12.085,0.7263
B,B-1,1,X-line,849.1,0.0,12.085,0.7263
B,B-1,1,X-line,851.6,0.0,12.146,0.73
B,B-1,1,X-line,854.1,0.0,12.207,0.7336
B,B-1,1,X-line,856.6,0.0,12.2681,0.7373
B,B-1,1,X-line,859.0,0.0,12.3291,0.741
B,B-1,1,X-line,861.5,0.0,12.3901,0.7446
B,B-1,1,X-line,864.0,0.0,12.4512,0.7483
B,B-1,1,X-line,866.5,0.0,12.5122,0.752
B,B-1,1,X-line,869.0,0.0,12.5733,0.7557
B,B-1,1,X-line,871.5,0.0,12.6343,0.7593
B,B-1,1,X-line,874.0,0.0,12.6953,0.763
B,B-1,1,X-line,876.5,0.0,12.8174,0.7703
B,B-1,1,X-line,879.0,0.0,12.9395,0.7777
B,B-1,1,X-line,881.5,0.0,13.0615,0.785
B,B-1,1,X-line,884.0,0.0,13.1836,0.7923
B,B-1,1,X-line,886.4,0.0,13.3057,0.7997
B,B-1,1,X-line,888.9,0.0,13.4277,0.807
B,B-1,1,X-line,891.4,0.0,13.5498,0.8143
B,B-1,1,X-line,893.9,0.0,13.6719,0.8217
B,B-1,1,X-line,896.4,0.0,13.794,0.829
B,B-1,1,X-line,898.9,0.0,13.916,0.8364
B,B-1,1,X-line,901.4,0.0,14.0381,0.8437
B,B-1,1,X-line,903.9,0.0,14.1602,0.851
B,B-1,1,X-line,906.4,0.0,14.2212,0.8547
B,B-1,1,X-line,908.8,0.0,14.2822,0.8584
B,B-1,1,X-line,911.3,0.0,14.3433,0.862
B,B-1,1,X-line,913.8,0.0,14.3433,0.862
B,B-1,1,X-line,916.3,0.0,14.4043,0.8657
B,B-1,1,X-line,918.8,0.0,14.4043,0.8657
B,B-1,1,X-line,921.3,0.0,14.4043,0.8657
B,B-1,1,X-line,923.8,0.0,14.4043,0.8657
B,B-1,1,X-line,926.3,0.0,14.4043,0.8657
B,B-1,1,X-line,928.8,0.0,14.4043,0.8657
B,B-1,1,X-line,931.3,0.0,14.4043,0.8657
B,B-1,1,X-line,933.8,0.0,14.4043,0.8657
B,B-1,1,X-line,936.2,0.0,14.4043,0.8657
B,B-1,1,X-line,938.7,0.0,14.4043,0.8657
B,B-1,1,X-line,941.2,0.0,14.4043,0.8657
B,B-1,1,X-line,943.7,0.0,14.4043,0.8657
B,B-1,1,X-line,946.2,0.0,14.4043,0.8657
B,B-1,1,X-line,948.7,0.0,14.4653,0.8694
B,B-1,1,X-line,951.2,0.0,14.5264,0.873
B,B-1,2,X-line,649.9,50.0,9.5215,0.5722
B,B-1,2,X-line,652.4,50.0,9.5215,0.5722
B,B-1,2,X-line,654.9,50.0,9.5215,0.5722
B,B-1,2,X-line,657.4,50.0,9.5825,0.5759
B,B-1,2,X-line,659.8,50.0,9.6436,0.5796
B,B-1,2,X-line,662.3,50.0,9.7046,0.5832
B,B-1,2,X-line,664.8,50.0,9.7656,0.5869
B,B-1,2,X-line,667.3,50.0,9.8267,0.5906
B,B-1,2,X-line,669.8,50.0,9.8877,0.5943
B,B-1,2,X-line,672.3,50.0,9.9487,0.5979
B,B-1,2,X-line,674.8,50.0,10.0098,0.6016
B,B-1,2,X-line,677.3,50.0,10.0708,0.6053
B,B-1,2,X-line,679.8,50.0,10.1318,0.6089
B,B-1,2,X-line,682.3,50.0,10.1318,0.6089
B,B-1,2,X-line,684.8,50.0,10.1318,0.6089
B,B-1,2,X-line,687.2,50.0,10.1929,0.6126
B,B-1,2,X-line,689.7,50.0,10.2539,0.6163
B,B-1,2,X-line,692.2,50.0,10.2539,0.6163
B,B-1,2,X-line,694.7,50.0,10.3149,0.6199
B,B-1,2,X-line,697.2,50.0,10.376,0.6236
B,B-1,2,X-line,699.7,50.0,10.437,0.6273
B,B-1,2,X-line,702.2,50.0,10.4981,0.6309
B,B-1,2,X-line,704.7,50.0,10.4981,0.6309
B,B-1,2,X-line,707.2,50.0,10.4981,0.6309
B,B-1,2,X-line,709.7,50.0,10.4981,0.6309
B,B-1,2,X-line,712.1,50.0,10.4981,0.6309
B,B-1,2,X-line,714.6,50.0,10.4981,0.6309
B,B-1,2,X-line,717.1,50.0,10.4981,0.6309
B,B-1,2,X-line,719.6,50.0,10.4981,0.6309
B,B-1,2,X-line,722.1,50.0,10.4981,0.6309
B,B-1,2,X-line,724.6,50.0,10.4981,0.6309
B,B-1,2,X-line,727.1,50.0,10.4981,0.6309
B,B-1,2,X-line,729.6,50.0,10.5591,0.6346
B,B-1,2,X-line,732.1,50.0,10.6201,0.6383
B,B-1,2,X-line,734.6,50.0,10.6812,0.6419
B,B-1,2,X-line,737.0,50.0,10.7422,0.6456
B,B-1,2,X-line,739.5,50.0,10.8032,0.6493
B,B-1,2,X-line,742.0,50.0,10.8643,0.6529
B,B-1,2,X-line,744.5,50.0,10.9253,0.6566
B,B-1,2,X-line,747.0,50.0,10.9863,0.6603
B,B-1,2,X-line,749.5,50.0,11.0474,0.6639
B,B-1,2,X-line,752.0,50.0,11.1084,0.6676
B,B-1,2,X-line,754.5,50.0,11.1694,0.6713
B,B-1,2,X-line,757.0,50.0,11.2305,0.675
B,B-1,2,X-line,759.4,50.0,11.2915,0.6786
B,B-1,2,X-line,761.9,50.0,11.3525,0.6823
B,B-1,2,X-line,764.4,50.0,11.4136,0.686
B,B-1,2,X-line,766.9,50.0,11.4746,0.6896
B,B-1,2,X-line,769.4,50.0,11.5357,0.6933
